From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
22;3016;sea;2578;-1;-1;-1;-1;;Northern-Straits
6062;6205;sea;2374;-1;-1;-1;-1;;West Scottish-Strait
3178;13269;sea;2374;-1;-1;-1;-1;;Isle of Skye
13270;11064;sea;8865;-1;-1;-1;-1;;Orkney-Thurso
8435;6550;sea;7452;-1;-1;-1;-1;;Aegan Isle-Strait
7304;4360;sea;8614;-1;-1;-1;-1;;New Foundland-Strait
5407;5382;;-1;-1;-1;-1;-1;GIBRALTAR_STRAIT;Gibraltar North
5407;2400;;-1;-1;-1;-1;-1;GIBRALTAR_STRAIT;Gibraltar South
2455;2431;;-1;-1;-1;-1;-1;DANISH_BELTS_STRAIT;Øresund
5412;7678;;-1;-1;-1;-1;-1;BOSPHORUS_STRAIT;Bosphorus
2919;2943;;-1;-1;-1;-1;-1;HORMUZ_STRAIT;hormuz
10825;1991;impassable;-1;-1;-1;-1;-1;;Himalayas
10825;8029;impassable;-1;-1;-1;-1;-1;;Himalayas
10910;1991;impassable;-1;-1;-1;-1;-1;;Himalayas
10910;12807;impassable;-1;-1;-1;-1;-1;;Himalayas
12730;2098;impassable;-1;-1;-1;-1;-1;;Himalayas
12730;5018;impassable;-1;-1;-1;-1;-1;;Himalayas
10810;5018;impassable;-1;-1;-1;-1;-1;;Himalayas
1996;5018;impassable;-1;-1;-1;-1;-1;;Himalayas
1996;8041;impassable;-1;-1;-1;-1;-1;;Himalayas
1996;5102;impassable;-1;-1;-1;-1;-1;;Himalayas
4318;5102;impassable;-1;-1;-1;-1;-1;;Himalayas
1898;8029;impassable;-1;-1;-1;-1;-1;;Himalayas
1898;1961;impassable;-1;-1;-1;-1;-1;;Himalayas
3989;1961;impassable;-1;-1;-1;-1;-1;;Himalayas
1129;1961;impassable;-1;-1;-1;-1;-1;;Himalayas
4558;10826;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4558;12653;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4558;7519;impassable;-1;-1;-1;-1;-1;;peshawar mountains
12763;10826;impassable;-1;-1;-1;-1;-1;;peshawar mountains
2084;7519;impassable;-1;-1;-1;-1;-1;;peshawar mountains
10821;7519;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4998;12831;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4998;5082;impassable;-1;-1;-1;-1;-1;;peshawar mountains
1978;5082;impassable;-1;-1;-1;-1;-1;;peshawar mountains
1978;8090;impassable;-1;-1;-1;-1;-1;;peshawar mountains
7975;8090;impassable;-1;-1;-1;-1;-1;;peshawar mountains
8044;8090;impassable;-1;-1;-1;-1;-1;;peshawar mountains
8044;5064;impassable;-1;-1;-1;-1;-1;;peshawar mountains
12805;7519;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12805;5087;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12805;1766;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
10417;7519;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
10417;12653;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
8027;12653;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
7224;12653;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
7224;12314;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12218;12314;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12370;1766;impassable;-1;-1;-1;-1;-1;;pamir mountains
12370;12119;impassable;-1;-1;-1;-1;-1;;pamir mountains
5062;12119;impassable;-1;-1;-1;-1;-1;;pamir mountains
5062;4828;impassable;-1;-1;-1;-1;-1;;pamir mountains
4768;4828;impassable;-1;-1;-1;-1;-1;;pamir mountains
4391;4828;impassable;-1;-1;-1;-1;-1;;pamir mountains
4391;1703;impassable;-1;-1;-1;-1;-1;;pamir mountains
4391;12526;impassable;-1;-1;-1;-1;-1;;pamir mountains
611;3612;impassable;-1;-1;-1;-1;-1;;western alps
611;13971;impassable;-1;-1;-1;-1;-1;;western alps
11570;13971;impassable;-1;-1;-1;-1;-1;;western alps
11570;3612;impassable;-1;-1;-1;-1;-1;;western alps
11570;9587;impassable;-1;-1;-1;-1;-1;;western alps
6635;9587;impassable;-1;-1;-1;-1;-1;;western alps
3641;11601;impassable;-1;-1;-1;-1;-1;;central alps
3641;13974;impassable;-1;-1;-1;-1;-1;;central alps
3641;658;impassable;-1;-1;-1;-1;-1;;central alps
6661;13979;impassable;-1;-1;-1;-1;-1;;eastern alps
6661;3662;impassable;-1;-1;-1;-1;-1;;eastern alps
6661;13978;impassable;-1;-1;-1;-1;-1;;eastern alps
11587;13978;impassable;-1;-1;-1;-1;-1;;eastern alps
3662;11587;impassable;-1;-1;-1;-1;-1;;eastern alps
11587;3660;impassable;-1;-1;-1;-1;-1;;eastern alps
11587;13977;impassable;-1;-1;-1;-1;-1;;eastern alps
13977;6675;impassable;-1;-1;-1;-1;-1;;eastern alps
3660;6675;impassable;-1;-1;-1;-1;-1;;eastern alps
6675;9633;impassable;-1;-1;-1;-1;-1;;eastern alps
9633;9630;impassable;-1;-1;-1;-1;-1;;eastern alps
9630;11618;impassable;-1;-1;-1;-1;-1;;eastern alps
671;11634;impassable;-1;-1;-1;-1;-1;;austrian alps
671;3675;impassable;-1;-1;-1;-1;-1;;austrian alps
3675;668;impassable;-1;-1;-1;-1;-1;;austrian alps
13849;668;impassable;-1;-1;-1;-1;-1;;austrian alps
13849;3674;impassable;-1;-1;-1;-1;-1;;austrian alps
3674;3675;impassable;-1;-1;-1;-1;-1;;austrian alps
3674;6691;impassable;-1;-1;-1;-1;-1;;austrian alps
6691;6687;impassable;-1;-1;-1;-1;-1;;austrian alps
6691;9650;impassable;-1;-1;-1;-1;-1;;austrian alps
9650;3684;impassable;-1;-1;-1;-1;-1;;austrian alps
3314;6336;sea;5942;2885;1578;2890;1581;;Afsluitdijk
13058;10245;impassable;-1;-1;-1;-1;-1;;Greenland Glacier
13058;12512;impassable;-1;-1;-1;-1;-1;;Greenland Glacier
13058;10636;impassable;-1;-1;-1;-1;-1;;Greenland Glacier
13058;13066;impassable;-1;-1;-1;-1;-1;;Greenland Glacier
10245;14305;impassable;-1;-1;-1;-1;-1;;Greenland Glacier
10245;14303;impassable;-1;-1;-1;-1;-1;;Greenland Glacier
13066;14306;impassable;-1;-1;-1;-1;-1;;Greenland Glacier
10636;14306;impassable;-1;-1;-1;-1;-1;;Greenland Glacier
10636;14304;impassable;-1;-1;-1;-1;-1;;Greenland Glacier
12960;13292;sea;14012;-1;-1;-1;-1;;Falklands
7683;13293;sea;6223;-1;-1;-1;-1;;Cote Nord
13307;13296;sea;2482;-1;-1;-1;-1;;Chubut
12954;13297;sea;8510;-1;-1;-1;-1;;Araucania
13312;7982;sea;2919;-1;-1;-1;-1;;South Iran
761;13315;sea;451;-1;-1;-1;-1;;Ontario
9965;13777;sea;8396;-1;-1;-1;-1;;Shikoku-Awaji
13777;7113;sea;8421;-1;-1;-1;-1;;Awaji-Kansai
3868;13647;sea;5838;-1;-1;-1;-1;;Korcula-Mljet
8053;10476;impassable;-1;-1;-1;-1;-1;;Paropamisus Mountains
12788;10476;impassable;-1;-1;-1;-1;-1;;Paropamisus Mountains
12788;10896;impassable;-1;-1;-1;-1;-1;;Paropamisus Mountains
1995;10896;impassable;-1;-1;-1;-1;-1;;Paropamisus Mountains
10852;7584;impassable;-1;-1;-1;-1;-1;;North Afghanistan
10852;12248;impassable;-1;-1;-1;-1;-1;;North Afghanistan
12877;7584;impassable;-1;-1;-1;-1;-1;;North Afghanistan
10781;12248;impassable;-1;-1;-1;-1;-1;;North Afghanistan
10781;12314;impassable;-1;-1;-1;-1;-1;;North Afghanistan
10789;7916;impassable;-1;-1;-1;-1;-1;;South Afghanistan
10789;1995;impassable;-1;-1;-1;-1;-1;;South Afghanistan
10789;2078;impassable;-1;-1;-1;-1;-1;;South Afghanistan
5064;2078;impassable;-1;-1;-1;-1;-1;;South Afghanistan
1421;10184;sea;4689;-1;-1;-1;-1;;Sulu-Mindanao
5864;5838;;-1;-1;-1;-1;-1;OTRANTO_STRAIT;Otranto Strait
-1;-1;;-1;-1;-1;-1;-1;-1 
#Start province ID;End province ID;Adjacency type;Through province ID;Starting X position;Starting Y position;Ending X position;Ending Y position;Adjacency rule;Comment


